# === Registry (Add/Remove Programs) ===
# Exported: 2026-04-07 14:14:38


DisplayName                                                                   DisplayVersion     Publisher             
DiskGenius V6.0.0                        Eassos.DiskGenius                         Unknown            6.0.0     winget
Raspberry Pi Imager                      RaspberryPiFoundation.RaspberryPiImager   v2.0.6             2.0.7     winget
Microsoft SQL Server 2025 LocalDB        ARP\Machine\X64\{568A72D3-8666-4F65-ABB5ΓÇª 17.0.1000.7                  
Bonjour                                  Apple.Bonjour                             3.1.0.1                      winget
Microsoft System CLR Types for SQL ServΓÇª Microsoft.CLRTypesSQLServer.2019          15.0.2000.5                  winget
Microsoft Visual C++ 2008 RedistributabΓÇª Microsoft.VCRedist.2008.x64               9.0.30729.6161               winget
Google Chrome                            Google.Chrome                             146.0.7680.178               winget
Microsoft Visual Studio Installer        ARP\Machine\X64\{6F320B93-EE3C-4826-85E0ΓÇª 4.4.38.63497                 
Logi Options+                            Logitech.OptionsPlus                      2.1.854977                   winget
Revo Uninstaller 2.6.5                   RevoUninstaller.RevoUninstaller           2.6.5                        winget
Microsoft Teams Meeting Add-in for MicrΓÇª ARP\Machine\X64\{A7AB73A3-CB10-4AA5-9D38ΓÇª 1.24.31301                   
Microsoft GameInput                      Microsoft.GameInput                       3.3.163.0                    winget
Java(TM) SE Development Kit 22.0.2 (64-ΓÇª Oracle.JDK.22                             22.0.2.0                     winget
Tailscale                                Tailscale.Tailscale                       1.96.3                       winget
NVIDIA Graphics Driver 591.74            ARP\Machine\X64\{B2FE1952-0186-46C3-BAECΓÇª 591.74                       
NVIDIA App 11.0.6.383                    ARP\Machine\X64\{B2FE1952-0186-46C3-BAECΓÇª 11.0.6.383                   
NVIDIA PhysX System Software 9.23.1019   Nvidia.PhysX                              9.23.1019                    winget
NVIDIA FrameView SDK 1.5.11821.36727370  ARP\Machine\X64\{B2FE1952-0186-46C3-BAECΓÇª 1.5.11821.36727370           
NVIDIA HD Audio Driver 1.4.5.7           ARP\Machine\X64\{B2FE1952-0186-46C3-BAECΓÇª 1.4.5.7                      
Microsoft Update Health Tools            ARP\Machine\X64\{C6FD611E-7EFE-488C-A0E0ΓÇª 5.72.0.0                     
Node.js                                  OpenJS.NodeJS.22                          22.22.0            22.22.2   winget
AMD Ryzen Master SDK                     ARP\Machine\X64\{DBD50508-5F75-416B-995DΓÇª 2.14.2.3330                  
Microsoft Web Deploy 4.0                 Microsoft.WebDeploy                       10.0.9419                    winget
TeraCopy                                 CodeSector.TeraCopy                       3.17                         winget
Microsoft SQL Server 2019 LocalDB        ARP\Machine\X64\{E5B3A478-C4C3-49E3-8384ΓÇª 15.0.4382.1                  
Logi Plugin Service                      ARP\Machine\X64\{FB4DBF89-6BCB-485D-AFA7ΓÇª 6.2.6.1611                   
Visual Studio Community 2026             Microsoft.VisualStudio.Community          18.4.0             18.4.3    winget
AMD Chipset Software                     ARP\Machine\X86\AMD_Chipset_IODrivers     6.10.22.027                  
Brave                                    Brave.Brave                               146.1.88.138                 winget
Everything 1.4.1.1026 (x86)              ARP\Machine\X86\Everything                1.4.1.1026                   
GlassWire 3.8 (remove only)              GlassWire.GlassWire                       3.8.1033                     winget
Npgsql 3.2.6                             ARP\Machine\X86\Npgsql 3.2.6-3            3.2.6-3                      
RivaTuner Statistics Server 7.3.7        Guru3D.RTSS                               7.3.7                        winget
VLC media player                         VideoLAN.VLC                              3.0.23                       winget
ZEUS CAST version 1.4.3.37               ARP\Machine\X86\ZEUS CAST_is1             1.4.3.37                     
pgJDBC 42.7.2                            ARP\Machine\X86\pgJDBC 42.7.2-1           42.7.2-1                     
Microsoft Visual C++ 2013 RedistributabΓÇª Microsoft.VCRedist.2013.x64               12.0.40664.0                 winget
Microsoft Visual C++ 2013 RedistributabΓÇª Microsoft.VCRedist.2013.x64               12.0.30501.0                 winget
Microsoft Visual C++ v14 RedistributablΓÇª Microsoft.VCRedist.2015+.x86              14.50.35719.0                winget
FanControl                               Rem0o.FanControl                          262                264       winget
MSI Center SDK                           ARP\Machine\X86\{15289038-41BE-48F8-B8B9ΓÇª 3.2026.0123.01               
vs_CoreEditorFonts                       ARP\Machine\X86\{1851460E-0E63-4117-B5BAΓÇª 17.7.40001                   
Microsoft ASP.NET Core 8.0.25 - Shared ΓÇª Microsoft.DotNet.AspNetCore.8             8.0.25                       winget
Microsoft ASP.NET Core 8.0.25 - Shared ΓÇª Microsoft.DotNet.AspNetCore.8             8.0.25                       winget
Microsoft Visual C++ 2012 RedistributabΓÇª Microsoft.VCRedist.2012.x86               11.0.61030.0                 winget
Microsoft Visual C++ 2012 RedistributabΓÇª Microsoft.VCRedist.2012.x86               11.0.60610.1                 winget
Microsoft Windows Desktop Runtime - 8.0ΓÇª Microsoft.DotNet.DesktopRuntime.8.x86     8.0.25                       winget
Microsoft Windows Desktop Runtime - 8.0ΓÇª Microsoft.DotNet.DesktopRuntime.8.x64     8.0.25                       winget
Python Launcher                          Python.Launcher                           3.13.5                       winget
Python Launcher                          Python.Launcher                           3.13.2                       winget
Windows Migration Assistant              Apple.WindowsMigrationAssistant           3.0.1.0                      winget
Microsoft Windows Desktop Runtime 10.0.ΓÇª Microsoft.DotNet.DesktopRuntime.10        10.0.5                       winget
Realtek Ethernet Controller Driver       ARP\Machine\X86\{8833FFB6-5B0C-4764-81AAΓÇª 10.74.1128.2024              
Microsoft Visual C++ v14 RedistributablΓÇª Microsoft.VCRedist.2015+.x64              14.50.35719.0                winget
Microsoft Visual C++ 2008 RedistributabΓÇª Microsoft.VCRedist.2008.x86               9.0.30729.6161               winget
Microsoft Visual C++ 2013 RedistributabΓÇª Microsoft.VCRedist.2013.x86               12.0.40664.0                 winget
Microsoft Visual C++ 2013 RedistributabΓÇª Microsoft.VCRedist.2013.x86               12.0.30501.0                 winget
Windows SDK AddOn                        ARP\Machine\X86\{AFEDE556-1D76-4165-A1E8ΓÇª 10.1.0.0                     
Microsoft Edge                           Microsoft.Edge                            146.0.3856.109               winget
EA SPORTS FC 24                          ARP\Machine\X86\{D599A8A7-E083-496C-B891ΓÇª 1.0.120.18322                
Microsoft Visual C++ 2010  x86 RedistriΓÇª Microsoft.VCRedist.2010.x86               10.0.40219                   winget
Realtek Audio Driver                     ARP\Machine\X86\{F132AF7F-7BCA-4EDE-8A7CΓÇª 6.0.9694.1                   
Microsoft Visual C++ 2012 RedistributabΓÇª Microsoft.VCRedist.2012.x64               11.0.61030.0                 winget
Microsoft Visual C++ 2012 RedistributabΓÇª Microsoft.VCRedist.2012.x64               11.0.60610.1                 winget
Notion 7.7.1                             Notion.Notion                             7.7.1              7.9.1     winget
Plus500                                  ARP\User\X64\71900e679ed992b6c0392499bb7ΓÇª 1.0                          
Claude Code                              Anthropic.ClaudeCode                      2.1.77             2.1.92    winget
FFmpeg                                   Gyan.FFmpeg                               8.0.1              8.1       winget
Autoruns                                 Microsoft.Sysinternals.Autoruns           14.11                        winget
Syncthing                                Syncthing.Syncthing                       2.0.15                       winget
Obsidian                                 Obsidian.Obsidian                         1.12.4             1.12.7    winget
Poppler                                  oschwartz10612.Poppler                    25.07.0-0                    winget
╬╝Torrent                                 ARP\User\X64\uTorrent                     3.6.0.47228                  
Python 3.11.9 (64-bit)                   Python.Python.3.11                        3.11.9                       winget
Ollama version 0.18.3                    Ollama.Ollama                             0.18.3             0.20.2    winget
Microsoft Visual Studio Code (User)      Microsoft.VisualStudioCode                1.114.0                      winget
Antigravity (User)                       Google.Antigravity                        1.20.5             1.21.9    winget
Cursor (User)                            Anysphere.Cursor                          2.6.20             3.0.12    winget
Python 3.12.10 (64-bit)                  Python.Python.3.12                        3.12.10                      winget
Python 3.13.12 (64-bit)                  Python.Python.3.13                        3.13.12                      winget
DocX View & Edit                         MSIX\40242YTDApp.DocXViewEdit_1.3.12.0_nΓÇª 1.3.12.0                     
XLSX Spreadsheet                         MSIX\50236FileViewerProInc.XLSXSpreadsheΓÇª 1.2.24.0                     
WhatsApp                                 MSIX\5319275A.WhatsAppDesktop_2.2611.102ΓÇª 2.2611.102.0                 
MSI Center                               MSIX\9426MICRO-STARINTERNATION.MSICenterΓÇª 2.0.68.0                     
Nahimic                                  MSIX\A-Volute.Nahimic_1.10.9.0_x64__w2ghΓÇª 1.10.9.0                     
Blender                                  MSIX\BlenderFoundation.Blender_5.1.0.0_xΓÇª 5.1.0.0                      
Claude                                   Anthropic.Claude                          1.569.0.0                    winget
JAMSoftware.TreeSizeFreeContextMenu      MSIX\JAMSoftware.TreeSizeFreeContextMenuΓÇª 2.1.0.0                      
Microsoft Teams                          Microsoft.Teams                           26032.208.4399.5   26058.71ΓÇª winget
Forza Horizon 5                          MSIX\Microsoft.624F8B84B80_3.663.817.0_xΓÇª 3.663.817.0                  
AV1 Video Extension                      MSIX\Microsoft.AV1VideoExtension_2.0.7.0ΓÇª 2.0.7.0                      
AVC Encoder Video Extension              MSIX\Microsoft.AVCEncoderVideoExtension_ΓÇª 1.1.23.0                     
Windows Application Compatibility EnhanΓÇª MSIX\Microsoft.ApplicationCompatibilityEΓÇª 1.2511.9.0                   
Microsoft Bing                           MSIX\Microsoft.BingSearch_1.1.40.0_x64__ΓÇª 1.1.40.0                     
MSN Weather                              MSIX\Microsoft.BingWeather_4.54.63029.0_ΓÇª 4.54.63029.0                 
App Installer                            Microsoft.AppInstaller                    1.28.220.0                   winget
Microsoft Edge Game Assist               MSIX\Microsoft.Edge.GameAssist_1.0.3456.ΓÇª 1.0.3456.0                   
Xbox                                     MSIX\Microsoft.GamingApp_2603.1001.18.0_ΓÇª 2603.1001.18.0               
Gaming Services                          MSIX\Microsoft.GamingServices_34.111.200ΓÇª 34.111.20001.0               
Get Help                                 MSIX\Microsoft.GetHelp_10.2409.33293.0_xΓÇª 10.2409.33293.0              
HEIF Image Extension                     MSIX\Microsoft.HEIFImageExtension_1.2.30ΓÇª 1.2.30.0                     
HEVC Video Extensions from Device ManufΓÇª MSIX\Microsoft.HEVCVideoExtension_2.4.43ΓÇª 2.4.43.0                     
English (United Kingdom) Local ExperienΓÇª MSIX\Microsoft.LanguageExperiencePacken-ΓÇª 26100.124.233.0              
Forza Hub                                MSIX\Microsoft.Lucille_1.0.4.0_x64__8wekΓÇª 1.0.4.0                      
MPEG-2 Video Extension                   MSIX\Microsoft.MPEG2VideoExtension_1.2.1ΓÇª 1.2.13.0                     
Microsoft Edge                           MSIX\Microsoft.MicrosoftEdge.Stable_142.ΓÇª 142.0.3595.80                
Microsoft Sticky Notes                   MSIX\Microsoft.MicrosoftStickyNotes_6.1.ΓÇª 6.1.4.0                      
Mixed Reality Portal                     MSIX\Microsoft.MixedReality.Portal_2000.ΓÇª 2000.21051.1282.0            
Microsoft .Net Native Framework PackageΓÇª MSIX\Microsoft.NET.Native.Framework.2.2_ΓÇª 2.2.29512.0                  
Microsoft .Net Native Framework PackageΓÇª MSIX\Microsoft.NET.Native.Framework.2.2_ΓÇª 2.2.29512.0                  
Microsoft .Net Native Runtime Package 2ΓÇª MSIX\Microsoft.NET.Native.Runtime.2.2_2.ΓÇª 2.2.28604.0                  
Microsoft .Net Native Runtime Package 2ΓÇª MSIX\Microsoft.NET.Native.Runtime.2.2_2.ΓÇª 2.2.28604.0                  
OneNote Virtual Printer                  MSIX\Microsoft.Office.OneNoteVirtualPrinΓÇª 1.0.0.0                      
Paint                                    MSIX\Microsoft.Paint_11.2601.401.0_x64__ΓÇª 11.2601.401.0                
PowerShell Preview                       Microsoft.PowerShell.Preview              7.6.101.0                    winget
PowerShell                               Microsoft.PowerShell                      7.6.0.0                      winget
Raw Image Extension                      MSIX\Microsoft.RawImageExtension_2.5.7.0ΓÇª 2.5.7.0                      
Snipping Tool                            MSIX\Microsoft.ScreenSketch_11.2601.2.0_ΓÇª 11.2601.2.0                  
Windows Security                         MSIX\Microsoft.SecHealthUI_1000.29510.10ΓÇª 1000.29510.1001.0            
Microsoft Engagement Framework           MSIX\Microsoft.Services.Store.EngagementΓÇª 10.0.23012.0                 
Microsoft Engagement Framework           MSIX\Microsoft.Services.Store.EngagementΓÇª 10.0.23012.0                 
Start Experiences App                    MSIX\Microsoft.StartExperiencesApp_1.241ΓÇª 1.241.0.0                    
Store Experience Host                    MSIX\Microsoft.StorePurchaseApp_22601.14ΓÇª 22601.1401.7.0               
Microsoft To Do                          MSIX\Microsoft.Todos_0.175.6901.0_x64__8ΓÇª 0.175.6901.0                 
Microsoft.UI.Xaml.2.6                    MSIX\Microsoft.UI.Xaml.2.6_2.62112.3002.ΓÇª 2.62112.3002.0               
Microsoft.UI.Xaml.2.6                    MSIX\Microsoft.UI.Xaml.2.6_2.62112.3002.ΓÇª 2.62112.3002.0               
Microsoft.UI.Xaml.2.7                    Microsoft.UI.Xaml.2.7                     7.2409.9001.0                winget
Microsoft.UI.Xaml.2.7                    Microsoft.UI.Xaml.2.7                     7.2409.9001.0                winget
Microsoft.UI.Xaml.2.8                    Microsoft.UI.Xaml.2.8                     8.2501.31001.0               winget
Microsoft.UI.Xaml.2.8                    Microsoft.UI.Xaml.2.8                     8.2501.31001.0               winget
Microsoft Visual C++ 2015 UWP Desktop RΓÇª Microsoft.VCLibs.Desktop.14               14.0.33728.0                 winget
Microsoft Visual C++ 2015 UWP Desktop RΓÇª Microsoft.VCLibs.Desktop.14               14.0.33728.0                 winget
Microsoft Visual C++ 2015 UWP Runtime PΓÇª MSIX\Microsoft.VCLibs.140.00_14.0.33519.ΓÇª 14.0.33519.0                 
Microsoft Visual C++ 2015 UWP Runtime PΓÇª MSIX\Microsoft.VCLibs.140.00_14.0.33519.ΓÇª 14.0.33519.0                 
VP9 Video Extensions                     MSIX\Microsoft.VP9VideoExtensions_1.2.12ΓÇª 1.2.12.0                     
Web Media Extensions                     MSIX\Microsoft.WebMediaExtensions_2.1.26ΓÇª 2.1.26.0                     
WebP Image Extension                     MSIX\Microsoft.WebpImageExtension_1.2.14ΓÇª 1.2.14.0                     
Widgets Platform Runtime                 MSIX\Microsoft.WidgetsPlatformRuntime_1.ΓÇª 1.6.14.0                     
WinDbg                                   Microsoft.WinDbg                          1.2603.20001.0               winget
Windows Advanced Settings                MSIX\Microsoft.Windows.DevHome_0.2100.85ΓÇª 0.2100.858.0                 
Microsoft Photos                         MSIX\Microsoft.Windows.Photos_2026.11020ΓÇª 2026.11020.20001.0           
Windows Clock                            MSIX\Microsoft.WindowsAlarms_1.1.85.0_x6ΓÇª 1.1.85.0                     
WindowsAppRuntime.1.4                    MSIX\Microsoft.WindowsAppRuntime.1.4_400ΓÇª 4000.1309.2056.0             
WindowsAppRuntime.1.4                    MSIX\Microsoft.WindowsAppRuntime.1.4_400ΓÇª 4000.1309.2056.0             
WindowsAppRuntime.1.5                    MSIX\Microsoft.WindowsAppRuntime.1.5_500ΓÇª 5001.373.1736.0              
WindowsAppRuntime.1.5                    MSIX\Microsoft.WindowsAppRuntime.1.5_500ΓÇª 5001.373.1736.0              
WindowsAppRuntime.1.6                    MSIX\Microsoft.WindowsAppRuntime.1.6_600ΓÇª 6000.519.329.0               
WindowsAppRuntime.1.6                    MSIX\Microsoft.WindowsAppRuntime.1.6_600ΓÇª 6000.519.329.0               
WindowsAppRuntime.1.7                    MSIX\Microsoft.WindowsAppRuntime.1.7_700ΓÇª 7000.676.1651.0              
WindowsAppRuntime.1.7                    MSIX\Microsoft.WindowsAppRuntime.1.7_700ΓÇª 7000.744.1258.0              
WindowsAppRuntime.1.7                    MSIX\Microsoft.WindowsAppRuntime.1.7_700ΓÇª 7000.770.750.0               
WindowsAppRuntime.1.7                    MSIX\Microsoft.WindowsAppRuntime.1.7_700ΓÇª 7000.770.750.0               
WindowsAppRuntime.1.7                    MSIX\Microsoft.WindowsAppRuntime.1.7_700ΓÇª 7000.785.2325.0              
WindowsAppRuntime.1.7                    MSIX\Microsoft.WindowsAppRuntime.1.7_700ΓÇª 7000.785.2325.0              
WindowsAppRuntime.1.8                    MSIX\Microsoft.WindowsAppRuntime.1.8_800ΓÇª 8000.731.1532.0              
WindowsAppRuntime.1.8                    MSIX\Microsoft.WindowsAppRuntime.1.8_800ΓÇª 8000.770.947.0               
WindowsAppRuntime.1.8                    MSIX\Microsoft.WindowsAppRuntime.1.8_800ΓÇª 8000.806.2252.0              
WindowsAppRuntime.1.8                    MSIX\Microsoft.WindowsAppRuntime.1.8_800ΓÇª 8000.806.2252.0              
Windows Calculator                       MSIX\Microsoft.WindowsCalculator_11.2508ΓÇª 11.2508.4.0                  
Windows Camera                           MSIX\Microsoft.WindowsCamera_2025.2510.2ΓÇª 2025.2510.2.0                
Windows Maps                             MSIX\Microsoft.WindowsMaps_1.0.65.0_x64_ΓÇª 1.0.65.0                     
Windows Notepad                          MSIX\Microsoft.WindowsNotepad_11.2512.26ΓÇª 11.2512.26.0                 
Windows Sound Recorder                   MSIX\Microsoft.WindowsSoundRecorder_1.1.ΓÇª 1.1.86.0                     
Microsoft Store                          MSIX\Microsoft.WindowsStore_22602.1401.4ΓÇª 22602.1401.4.0               
Windows Terminal                         Microsoft.WindowsTerminal                 1.24.10621.0       1.24.109ΓÇª winget
Windows Package Manager Source (winget)ΓÇª MSIX\Microsoft.Winget.Source_2026.407.55ΓÇª 2026.407.555.37              
Xbox TCUI                                MSIX\Microsoft.Xbox.TCUI_1.24.10001.0_x6ΓÇª 1.24.10001.0                 
Xbox Accessories                         MSIX\Microsoft.XboxDevices_2506.2505.280ΓÇª 2506.2505.28001.0            
Xbox Game Bar Plugin                     MSIX\Microsoft.XboxGameOverlay_1.54.4001ΓÇª 1.54.4001.0                  
Game Bar                                 MSIX\Microsoft.XboxGamingOverlay_7.326.2ΓÇª 7.326.2102.0                 
Xbox Identity Provider                   MSIX\Microsoft.XboxIdentityProvider_12.1ΓÇª 12.130.16001.0               
Game Speech Window                       MSIX\Microsoft.XboxSpeechToTextOverlay_1ΓÇª 1.97.17002.0                 
Phone Link                               MSIX\Microsoft.YourPhone_1.26012.101.0_xΓÇª 1.26012.101.0                
Windows Media Player                     MSIX\Microsoft.ZuneMusic_11.2601.11.0_x6ΓÇª 11.2601.11.0                 
Films & TV                               MSIX\Microsoft.ZuneVideo_10.25121.10051.ΓÇª 10.25121.10051.0             
Quick Assist                             MSIX\MicrosoftCorporationII.QuickAssist_ΓÇª 2.0.47.0                     
WinAppRuntime.Main.1.8                   MSIX\MicrosoftCorporationII.WinAppRuntimΓÇª 8000.770.947.0               
Windows Subsystem for Linux              Microsoft.WSL                             2.6.3.0                      winget
Windows Web Experience Pack              MSIX\MicrosoftWindows.Client.WebExperienΓÇª 526.1202.40.0                
Cross Device Experience Host             MSIX\MicrosoftWindows.CrossDevice_1.2601ΓÇª 1.26012.79.0                 
Mozilla Firefox                          MSIX\Mozilla.Firefox_149.0.0.0_x64__n80bΓÇª 149.0.0.0                    
NVIDIA Control Panel                     MSIX\NVIDIACorp.NVIDIAControlPanel_8.1.9ΓÇª 8.1.969.0                    
Notepad++                                MSIX\NotepadPlusPlus_1.0.0.0_neutral__22ΓÇª 1.0.0.0                      
Python 3.12                              MSIX\PythonSoftwareFoundation.Python.3.1ΓÇª 3.12.2800.0                  
Realtek Audio Control                    MSIX\RealtekSemiconductorCorp.RealtekAudΓÇª 2.53.384.0                   
Mileena                                  MSIX\WarnerBros.Interactive.Mileena_4.0.ΓÇª 4.0.0.0                      
Rain                                     MSIX\WarnerBros.Interactive.Rain_4.0.0.0ΓÇª 4.0.0.0                      
Rambo                                    MSIX\WarnerBros.Interactive.Rambo_4.0.0.ΓÇª 4.0.0.0                      
Mortal KombatTM 11                       MSIX\WarnerBros.Interactive.a86c0be2-cf8ΓÇª 4.0.47.0                     
Mail and Calendar                        MSIX\microsoft.windowscommunicationsappsΓÇª 16005.14326.22342ΓÇª           
